time,from,to,message,translation
2021-01-11 10:42:18,Shutd0wn,lengmo,看密码就知道是那个XLS，我看过的,"By looking at the password, I knew it was that XLS file that I have seen before."
2021-01-11 10:48:12,Shutd0wn,lengmo,财务算法不一样,Financial algorithms are different.
2021-01-11 10:48:41,Shutd0wn,lengmo,她给的是截止12.31这时间点的账上统计,She provided the account statistics up until the point of 12.31.
2021-01-11 10:48:52,Shutd0wn,lengmo,所以才会盈利,So that a profit can be made.
2021-01-11 10:49:34,Shutd0wn,lengmo,成本支出延后了,Cost expenditures have been postponed. 
2021-01-11 10:51:35,lengmo,Shutd0wn,好吧,Okay
2021-01-11 10:58:23,Shutd0wn,lengmo,基本上是2年半的毛利额,Basically it is a gross profit margin of 2 and a half years.
2021-01-11 11:02:35,lengmo,Shutd0wn,啥意思？两年半1300W？这不是吧，不管怎么算都是从每年1月31日到12月31日,"What does this mean? 2 and a half years 13 million? This can't be, no matter how you calculate, it's still from January 31st to December 31st each year."
2021-01-11 11:03:04,Shutd0wn,lengmo,这1300，是所有项目的总毛利,The total gross profit for all projects is 1300.
2021-01-11 11:03:18,Shutd0wn,lengmo,这个项目收款跨度，实际上至少跨年了,"This project involves a wide range of collection periods, actually spanning at least a year."
2021-01-11 11:04:01,Shutd0wn,lengmo,有19年项目，也有20年收了第一笔款的项目，只要列出来了就列项目总毛利,"There are projects that have been ongoing for 19 years, as well as projects that have received the first payment in the 20th year. As long as they are listed, the total gross profit of the projects should be listed."
2021-01-11 11:04:28,Shutd0wn,lengmo,同一个项目你不可能重复收款,You cannot receive multiple payments for the same project.
2021-01-11 11:07:45,lengmo,Shutd0wn,但列进去的金额也是部分金额，收款也是收的部分，没收的肯定算第二年的，有的还可能是交了货了，成本算在19年，20年验收后收第二笔,"But the amount included is also a partial amount, and the payment received is also partial. What hasn't been received will definitely be counted in the second year, and some may have already delivered the goods, with the costs accounted for in 2019 and the second payment received after acceptance in 2020."
2021-01-11 11:08:02,Shutd0wn,lengmo,列出的是整个合同的毛利,The gross profit of the entire contract is listed.
2021-01-11 11:08:37,lengmo,Shutd0wn,意思是没收款的，也算进去了？,Does it count as a collection even if the payment hasn't been received?
2021-01-11 11:08:54,Shutd0wn,lengmo,对,对 - Yes
2021-01-11 11:09:23,Shutd0wn,lengmo,而且19年的也在里面,And the one from 19 years is also inside.
2021-01-11 11:10:15,lengmo,Shutd0wn,那如果这么算，拉平总体算的话，第一年这么算就是有点少，往后每年循环起来了，才能差不多,"If calculated in this way, flattening overall, it seems a bit less in the first year, but it will be more or less the same each year in the future."
2021-01-11 11:10:42,lengmo,Shutd0wn,每年都这么算才差不多平均,Calculate average like this every year
2021-01-11 11:11:05,lengmo,Shutd0wn,每年都有去年和当年的,"Every year, there are the previous year and the current year."
2021-01-11 11:17:21,Shutd0wn,lengmo,20年实际是400+,20 years is actually 400+ years.
2021-01-11 11:26:31,Shutd0wn,lengmo,管理部20年现金流收入,Revenue from cash flow in the management department for 20 years.
2021-01-11 11:26:31,Shutd0wn,lengmo,,
2021-01-11 11:27:36,Shutd0wn,lengmo,=N5*(1-F5)*M5   这是公式,N5*(1-F5)*M5   This is the formula
2021-01-11 11:28:04,lengmo,Shutd0wn,还有这么复杂的公式,Such a complicated formula.
2021-01-12 00:01:35,lengmo,Shutd0wn,Flanker离职拼多多，丧钟为谁而鸣,"Flanker resigned from Pinduoduo, for whom the funeral bell tolls"
2021-01-12 00:08:17,Shutd0wn,lengmo,舆论又在围剿pdd了,Public opinion is once again besieging PDD.
2021-01-12 00:09:11,lengmo,Shutd0wn,你那个盾牌座用不用,Do you need to use your shield?
2021-01-12 00:09:17,Shutd0wn,lengmo,用,Use
2021-01-12 00:09:23,lengmo,Shutd0wn,你看下消息,You can check the message.
2021-01-12 01:49:22,lengmo,Shutd0wn,,
2021-01-14 03:39:05,lengmo,Shutd0wn,解决方案部做的200万毛利，是不是也和销售一样，有提成的吧？,"Does the Solution Department also have commission attached to the 2 million gross profit they made, just like sales?"
2021-01-14 03:48:27,Shutd0wn,lengmo,不要，由公司层面统筹奖金,"Do not, coordinate bonuses at the company level."
2021-01-14 03:50:29,lengmo,Shutd0wn,这个就有个问题，今年都能感觉到，19年周伟伟做的还是可以，也签了不少，今年20年就签的少，觉得签多签少和自己没关系，销售签了还有奖金,"There is an issue with this, which can be felt this year. In 2019, Zhou Weiwei did quite well and signed a lot. However, in 2020, they signed fewer deals. They feel that the number of signings has nothing to do with themselves. Sales signings still result in bonuses."
2021-01-14 04:02:27,Shutd0wn,lengmo,他这个200不是主力，基于对他团队的锻炼考虑才分配的数字，可有可无,"He is not a main player for this 200, and the number was assigned based on the training of his team, it is optional."
2021-01-14 04:02:54,lengmo,Shutd0wn,行吧，你定吧,"Go ahead, you decide."
2021-01-14 04:15:25,lengmo,Shutd0wn,对了，我打算将陕西网安这块给梅雨婷去跟，目前销售那边的栗丰伟主要还是在跑 JZ 口，网安也没咋跑，也不方便都跑,"By the way, I plan to assign the Shanxi network security part to Mei Yuting. Currently, Li Fengwei, the main salesperson on that side, is mainly focusing on running the JZ account. The network security part is not being actively pursued and it is not convenient to handle both."
2021-01-14 04:16:30,Shutd0wn,lengmo,网安总队？,Cyber Security Brigade?
2021-01-14 04:17:37,lengmo,Shutd0wn,陕西地市,Shaanxi cities
2021-01-14 04:17:48,lengmo,Shutd0wn,不然她也没地方跑,"Otherwise, she has nowhere to run."
2021-01-14 04:17:58,lengmo,Shutd0wn,当练手,When practicing
2021-01-14 04:18:05,lengmo,Shutd0wn,陕西地市穷,Shaanxi is a poor city.
2021-01-14 04:19:37,Shutd0wn,lengmo,那你大客户谁来跟进,Who will be following up with your major clients?
2021-01-14 04:20:48,lengmo,Shutd0wn,也是她，江苏些地市她一般都处理些后面的事情，前面的合作这些队长都和我谈好了,"It was also her, in some cities in Jiangsu, she usually takes care of the things behind the scenes, the team leaders have already discussed the cooperation with me."
2021-01-14 04:28:49,Shutd0wn,lengmo,估计她搞不过来吧,I estimate that she can't handle it.
2021-01-14 04:30:37,lengmo,Shutd0wn,交付也不用她，都是解决方案部弄，合同也不用她，应该可以,"Delivery also doesn't need her, it's all taken care of by the Solutions Department, the contract also doesn't need her, should be fine."
2021-01-14 04:30:50,lengmo,Shutd0wn,我想让她多跑跑锻炼锻炼,I want her to run and exercise more.
2021-01-14 04:31:03,lengmo,Shutd0wn,她也就是只跑下网安,She just casually browses online security.
2021-01-14 04:31:07,lengmo,Shutd0wn,其他也不做,I can help you with that
2021-01-14 04:46:13,Shutd0wn,lengmo,也可以，具体分那几个地市回头我和王哲确定下,"Yes, I agree. We will confirm the specific cities later with Wang Zhe."
2021-01-14 04:46:35,Shutd0wn,lengmo,等他们理清楚栗丰伟明年计划,Wait for them to clarify Lai Fengwei's plan for next year.
2021-01-14 04:48:39,lengmo,Shutd0wn,栗丰伟主要还是JZ 跑的多，梅雨婷不是见过他们副总队长几次，我就想让她多接触，推荐点地市让她跑跑，不求签单多少，锻炼起来,"Lu Fengwei mainly drives for JZ. Mei Yuting has only met their deputy team leader a few times. I want her to have more interaction with them, recommend some prefectures for her to visit, not focusing on how many deals she can close, but to gain some experience."
2021-01-14 04:51:45,Shutd0wn,lengmo,要得，妹纸好看吗,Is the girl pretty?
2021-01-14 04:53:08,lengmo,Shutd0wn,你不是见过,You haven't seen it before.
2021-01-14 04:53:18,lengmo,Shutd0wn,我今天刚到常德了,I just arrived in Changde today.
2021-01-14 04:53:25,Shutd0wn,lengmo,没有见过,Never seen
2021-01-14 04:53:39,Shutd0wn,lengmo,你门口一堆妹纸，谁知道谁是谁,"There is a group of girls at your door, who knows who is who."
2021-01-14 04:54:00,lengmo,Shutd0wn,要和常德公安局签个战略协议，因为疫情，估计年后签,"Need to sign a strategic agreement with the Changde Public Security Bureau, probably sign it after the Chinese New Year due to the epidemic."
2021-01-14 04:54:19,lengmo,Shutd0wn,下午先和他们常务副局长谈合作方向和细节,"In the afternoon, discuss the direction and details of cooperation with their deputy director."
2021-01-14 04:54:26,lengmo,Shutd0wn,梅雨婷还是可以的,Mei Yuting is still okay.
2021-01-14 04:54:37,lengmo,Shutd0wn,性格 能力 喝酒 都比较适合做公安,"Personality, ability, and alcohol tolerance are all more suitable for being a police officer."
2021-01-14 04:56:43,Shutd0wn,lengmo,要得,Want it
2021-01-14 04:59:44,lengmo,Shutd0wn,先挣个名声宣传一波再说,"First, let's make a name for ourselves and promote it before we talk further."
2021-01-14 04:59:51,lengmo,Shutd0wn,不是疫情下周就签了,The contract will not be signed next week under the epidemic.
2021-01-14 05:01:14,Shutd0wn,lengmo,嗯,Hmm
2021-01-14 05:03:36,lengmo,Shutd0wn,四川今年再做不好就不像话了,"If Sichuan does not do well again this year, it would be unreasonable."
2021-01-14 05:04:36,lengmo,Shutd0wn,昨天和省厅喝酒，省厅打算今年每个季度搞一次比武考核，在我们公司,Yesterday I had drinks with the provincial department. The provincial department plans to hold a martial arts assessment once every quarter this year at our company.
2021-01-14 05:05:15,lengmo,Shutd0wn,考核排名发下去,The ranking of the assessment will be released.
2021-01-14 05:05:27,Shutd0wn,lengmo,擦，又来蹭我们洵酒,"Oops, they're trying to mooch off our wine again."
2021-01-14 05:06:12,lengmo,Shutd0wn,又不咋给钱，说给点辛苦钱,"They don't pay much, saying it's just a little extra for hard work."
2021-01-14 05:06:30,lengmo,Shutd0wn,但全省地市就要贴着我们了,But the whole province's cities and counties must stick close to us.
2021-01-14 05:06:38,lengmo,Shutd0wn,20多个地市,More than twenty cities
2021-01-14 05:39:24,Shutd0wn,lengmo,,
2021-01-14 05:39:33,Shutd0wn,lengmo,,
2021-01-14 05:41:59,lengmo,Shutd0wn,四川确实有钱的也不多，所以省厅就想逼一逼他们，重视起来。估计一个地市两年申请一次项目,"Sichuan does not have many rich people, so the provincial department wants to push them a bit and make them pay attention. I estimate that a city should apply for a project once every two years."
2021-01-14 05:44:03,Shutd0wn,lengmo,不管多少，这个地盘的产出我们得占住，拿大头,"No matter how much, we must occupy the output of this territory and get the lion's share."
2021-01-14 05:45:44,lengmo,Shutd0wn,嗯,Hmm
2021-01-14 05:46:11,lengmo,Shutd0wn,四川省厅也没啥选择，副总刚上任，也想做出成绩，昨天也说要依靠我们,The Sichuan Provincial Department also has no other choice. The deputy general has just taken office and also wants to achieve results. He also said yesterday that he wants to rely on us.
2021-01-14 05:46:51,lengmo,Shutd0wn,也明确说了，省厅没啥钱，但有啥事情，需要帮忙或者打招呼的，直接说,"It also explicitly stated that the provincial department does not have much money, but if there is anything that needs help or support, just directly ask."
2021-01-14 05:47:47,Shutd0wn,lengmo,相当于放开市场给安洵,Equivalent to open up the market for An Xun.
2021-01-14 05:54:58,lengmo,Shutd0wn,嗯,Yes
2021-01-14 05:55:11,lengmo,Shutd0wn,还是支持我们,Still support us
2021-01-15 11:23:45,lengmo,Shutd0wn,,
2021-01-15 11:23:58,lengmo,Shutd0wn,尴尬,Awkward
2021-01-15 11:24:30,lengmo,Shutd0wn,宿迁那边一体化演示过了，客户意思就是我们做的话，就要让服务去抵,"The integrated demonstration in Suqian has been completed. The client's requirement is that if we do it, we must ensure that the service reaches the customer."
2021-01-15 11:32:50,Shutd0wn,lengmo,干！,Damn it!
2021-01-15 11:33:44,lengmo,Shutd0wn,你说这种能咋办,What can be done about this?
2021-01-15 11:33:55,lengmo,Shutd0wn,尴尬,Awkward
2021-01-18 02:11:07,Shutd0wn,lengmo,,
2021-01-18 02:12:21,Shutd0wn,lengmo,是不是你们盐城的？,Are you from Yancheng?
2021-01-18 02:13:11,lengmo,Shutd0wn,认识，还比较熟,"Familiar, quite acquainted."
2021-01-18 02:13:16,lengmo,Shutd0wn,盐城人,Yancheng people
2021-01-18 02:15:46,lengmo,Shutd0wn,咋了,What's wrong?
2021-01-18 02:15:59,Shutd0wn,lengmo,难怪,No wonder
2021-01-18 02:16:10,lengmo,Shutd0wn,是不是听到他让人打听我们在江苏一年做了多少业绩？,Did he ask someone to find out how much achievements we have made in Jiangsu Province in one year?
2021-01-18 02:16:17,lengmo,Shutd0wn,啥事,What's the matter
2021-01-18 02:27:59,Shutd0wn,lengmo,,
2021-01-18 09:03:26,lengmo,Shutd0wn,盐城中标了,Yancheng won the bid.
2021-01-18 09:03:30,lengmo,Shutd0wn,2021第一单,2021 First Order
2021-01-18 09:12:40,Shutd0wn,lengmo,[Awesome][Awesome][Awesome],Awesome
2021-01-18 09:12:53,Shutd0wn,lengmo,我去和你老乡们吃饭了,I went to have dinner with your fellow villagers.
2021-01-18 09:13:00,lengmo,Shutd0wn,晚上你可以和林九川吹下··,"In the evening, you can chat with Lin Jiuchuan."
2021-01-18 09:13:06,lengmo,Shutd0wn,刚好是盐城的,Just happens to be in Yancheng.
2021-01-18 09:13:08,Shutd0wn,lengmo,[Facepalm],[Frustration or disappointment expressed by placing one's hand on their face]
2021-01-18 09:13:13,lengmo,Shutd0wn,盐城老家地盘中标,Yancheng Old Hometown Site Won Bid
2021-01-18 09:13:15,Shutd0wn,lengmo,今天中的？金额多少,How much is the amount in the middle today?
2021-01-18 09:13:26,lengmo,Shutd0wn,刚刚中的,Just now.
2021-01-18 09:13:31,lengmo,Shutd0wn,金额 599 W,Amount 599 W
2021-01-18 09:13:42,Shutd0wn,lengmo,要得,We want.
2021-01-18 09:13:49,lengmo,Shutd0wn,还是很爽,Still very cool
2021-01-18 09:13:53,lengmo,Shutd0wn,终于搞定了,Finally finished
2021-01-18 10:13:22,Shutd0wn,lengmo,,
2021-01-18 10:13:47,lengmo,Shutd0wn,林九川到了？,Has Lin Jiuchuan arrived?
2021-01-18 10:17:09,Shutd0wn,lengmo,嗯,Hmm
2021-01-18 10:17:29,lengmo,Shutd0wn,不知道他们想咋合作,I don't know how they want to cooperate.
2021-01-18 10:17:41,Shutd0wn,lengmo,应该就是聚聚,Should be a gathering.
2021-01-18 10:18:11,lengmo,Shutd0wn,你没吹下，盐城人在盐城路吃饭，今天盐城还中标了,"You didn't boast, people in Yancheng are eating on Yancheng Road, and Yancheng also won the bid today."
2021-01-18 10:18:26,Shutd0wn,lengmo,[Facepalm],Facepalm
2021-01-18 10:18:46,lengmo,Shutd0wn,那估计三所会有点酸，毕竟好像他们业绩压力也大,"I guess SanSuo will be a bit sour, after all, it seems like they are also under a lot of performance pressure."
2021-01-18 10:19:04,lengmo,Shutd0wn,三所在TZ 做的不好,The performance of TZ in the three locations is not good.
2021-01-18 11:07:32,Shutd0wn,lengmo,你们家九川确实对我们有点意见,Your family Jiuchuan really has some opinions about us.
2021-01-18 11:07:35,Shutd0wn,lengmo,[Emm][Awesome][ThumbsUp],Emm Awesome ThumbsUp
2021-01-18 11:07:38,Shutd0wn,lengmo,哈哈,Haha
2021-01-18 11:09:29,lengmo,Shutd0wn,说啥了,What did you say?
2021-01-18 11:09:39,lengmo,Shutd0wn,说我们抢了他们生意吧,Let's say we stole their business.
2021-01-18 11:09:58,Shutd0wn,lengmo,说我们做得好,Say we did well
2021-01-18 11:10:02,Shutd0wn,lengmo,酸酸的,Sour
2021-01-18 11:10:30,lengmo,Shutd0wn,你说一般一般吧,You can say so-so.
2021-01-18 11:13:17,lengmo,Shutd0wn,或者说 不是我们做的好，是你们做的差[LetMeSee],"Or to put it another way, it's not that we did well, it's that you did poorly."
2021-01-18 11:13:46,Shutd0wn,lengmo,哈哈哈哈哈哈,Hahahaha
2021-01-18 12:14:30,Shutd0wn,lengmo,,
2021-01-18 12:15:17,lengmo,Shutd0wn,没打起来嘛,Did not hit it
2021-01-18 12:15:33,lengmo,Shutd0wn,你有说今天刚好我们盐城中了个599万的项目,You said that today we just won a 5.99 million project in Yancheng.
2021-01-18 13:25:08,lengmo,Shutd0wn,,
2021-01-18 13:25:38,Shutd0wn,lengmo,谁发的啊,Who sent it?
2021-01-18 13:25:44,lengmo,Shutd0wn,林九川是不是给部里面刘智洋打电话了？,Did Lin Jiuchuan call Liu Zhiyang in the department?
2021-01-18 13:25:51,Shutd0wn,lengmo,对！！！,Yes!!!
2021-01-18 13:26:00,Shutd0wn,lengmo,我也不熟，就说了两句,"I am not familiar either, I just said a few words."
2021-01-18 13:26:02,lengmo,Shutd0wn,刘智洋给我发消息,Liu Zhiyang sent me a message.
2021-01-18 13:26:09,Shutd0wn,lengmo,嗨！,Hi!
2021-01-18 13:26:19,lengmo,Shutd0wn,他们都是一起的,They are all together.
2021-01-18 13:26:59,lengmo,Shutd0wn,刘智洋我喝过几次酒，现在是部里面的11局管理口的队长,"Liu Zhiyang, I have drunk alcohol a few times, and now I am the captain of the 11th bureau management team in the department."
2021-01-18 13:28:09,Shutd0wn,lengmo,嗯，你搞好就行，我这累坏了,"Okay, you handle it, I'm exhausted."
2021-01-18 13:28:10,lengmo,Shutd0wn,林九川 辛奕辰 大飞 陕西张立勋 何星 他们都是一起的,"Lin Jiuchuan, Xin Yichen, Da Fei, Shaanxi Zhang Lixun, and He Xing are all together."
2021-01-18 13:35:53,Shutd0wn,lengmo,,
2021-01-18 13:36:45,lengmo,Shutd0wn,但凡有盘花生米不至于喝成这样,Just because there are peanuts in the dish doesn't mean you have to drink this way.
2021-01-18 13:37:01,Shutd0wn,lengmo,[Facepalm],Facepalm
2021-01-18 14:21:50,lengmo,Shutd0wn,没说啥合作的事？,What about the cooperation?
2021-01-18 14:28:56,Shutd0wn,lengmo,没,None
2021-01-18 14:29:01,Shutd0wn,lengmo,嗨！,Hi!
2021-01-18 14:29:11,Shutd0wn,lengmo,回家睡觉,Go home and sleep.
2021-01-18 14:29:26,Shutd0wn,lengmo,嚷着去满天星，被灭了,"Roaring to reach the stars, got extinguished."
2021-01-18 14:33:45,lengmo,Shutd0wn,估计喝多了,Probably drank too much.
2021-01-18 14:35:02,Shutd0wn,lengmo,,
2021-01-18 14:36:25,lengmo,Shutd0wn,那肯定，所以我才没推动这个事情，因为对我们没啥帮助,"Definitely, that's why I didn't promote this thing, because it doesn't help us at all."
2021-01-18 14:37:14,lengmo,Shutd0wn,他上次喝酒说了，我就当他喝多了，大家都喝多了不能当真,"Last time he said while drinking, I thought he was just drunk. Everyone was drunk and couldn't take it seriously."
2021-01-19 01:37:16,Shutd0wn,lengmo,昨天张治和林九川认了亲戚,"Yesterday, Zhang Zhi and Lin Jiuchuan recognized each other as relatives."
2021-01-19 01:37:19,Shutd0wn,lengmo,[Facepalm],Facepalm
2021-01-19 01:37:23,Shutd0wn,lengmo,真的亲戚,Real relatives
2021-01-19 01:40:54,lengmo,Shutd0wn,他大姑的三姨的婆婆的妹妹是林九川他妈么？,Is his mother Lin Jiuchuan's mother-in-law's sister's aunt's third aunt?
2021-01-19 01:41:08,Shutd0wn,lengmo,有点这个意思,It means a little bit.
2021-01-19 01:41:27,Shutd0wn,lengmo,算起来张治是林九川叔叔,Uncle Lin Jiuchuan counts Zhang Zhi.
2021-01-19 01:41:34,lengmo,Shutd0wn,[Awkward][Awkward],[Awkward]
2021-01-19 01:41:47,lengmo,Shutd0wn,也是牛逼,Awesome
2021-01-19 01:41:55,Shutd0wn,lengmo,理论上林九川都得喊咱们叔,"In theory, Lin Jiuchuan should call us Uncle."
2021-01-19 01:41:57,Shutd0wn,lengmo,[Facepalm],Facepalm
2021-01-19 01:42:01,lengmo,Shutd0wn,[Awkward],Clumsy
2021-01-19 01:42:19,lengmo,Shutd0wn,林九川压力大,Lin Jiuchuan is under a lot of pressure.
2021-01-19 01:42:22,lengmo,Shutd0wn,做的不好,Not well done
2021-01-19 01:42:42,Shutd0wn,lengmo,21年说是3e目标,The goal for year 21 is said to be the 3e目标.
2021-01-19 01:42:55,Shutd0wn,lengmo,今年不到1e,Less than 1 year this year
2021-01-19 01:50:21,lengmo,Shutd0wn,他们那个都是串串，中间收的手续费,"They are all skewers, and they charge a commission in the middle."
2021-01-19 01:50:26,lengmo,Shutd0wn,自己没啥产品,I don't have any products.
2021-01-19 01:51:05,Shutd0wn,lengmo,嗯,Hmm
2021-01-19 02:43:41,lengmo,Shutd0wn,,
2021-01-19 02:44:46,Shutd0wn,lengmo,[Toasted],Toasted
2021-01-19 02:45:55,lengmo,Shutd0wn,晚上约了熊道泉吃饭,I made an appointment with Xiong Daoquan for dinner tonight.
2021-01-19 02:46:12,lengmo,Shutd0wn,看看奇安信到底在那边搞的咋样,Let's see what Qianxin is up to over there.
2021-01-19 02:49:02,Shutd0wn,lengmo,熊道泉是谁,Who is Xiong Daoquan?
2021-01-19 02:49:33,Shutd0wn,lengmo,哦，南京市局的,"Oh, the Nanjing Municipal Bureau."
2021-01-19 02:49:47,lengmo,Shutd0wn,嗯，网安政委，副厅级,"Well, the cybersecurity political commissar is a deputy department-level official."
2021-01-19 03:58:34,Shutd0wn,lengmo,,
2021-01-19 05:11:58,lengmo,Shutd0wn,[Awkward][Awkward],[Awkward]
2021-01-19 05:12:06,lengmo,Shutd0wn,都是小酒量,All have a small capacity for alcohol
2021-01-19 10:02:00,lengmo,Shutd0wn,,
2021-01-19 10:02:30,lengmo,Shutd0wn,省厅第二场吃饭又拉着科讯的人,The provincial department had a second meal with people from the Ke Xun company.
2021-01-19 10:02:32,lengmo,Shutd0wn,尴尬,Awkward
2021-01-19 10:02:43,lengmo,Shutd0wn,天天希望我们和科讯合作,Every day we hope to collaborate with KeXun.
2021-01-19 10:08:03,Shutd0wn,lengmo,[Scowl],Scowl
2021-01-19 10:10:47,lengmo,Shutd0wn,总是希望我们和薛虎他们合作,Always hoping that we can cooperate with Xuehu and them.
2021-01-19 10:11:03,lengmo,Shutd0wn,马上宿迁的一体化我们就直接和薛虎他们竞争,We will directly compete with Xuehu and his team on the integration of Suqian soon.
2021-01-19 10:11:23,lengmo,Shutd0wn,这开口都当场都不好拒绝,It's hard to refuse on the spot.
2021-01-19 10:18:35,Shutd0wn,lengmo,他们没TZ服务能力，是硬伤,"They lack the ability to provide TZ service, which is a major weakness."
2021-01-20 00:00:11,lengmo,Shutd0wn,,
2021-01-20 00:00:35,lengmo,Shutd0wn,,
2021-01-20 00:00:59,lengmo,Shutd0wn,,
2021-01-20 00:53:29,Shutd0wn,lengmo,,
2021-01-22 03:29:00,Shutd0wn,lengmo,,
2021-01-22 03:29:54,Shutd0wn,lengmo,,
2021-01-22 03:32:53,lengmo,Shutd0wn,我今天回成都，周一在公司，计划周二再出差,"I am returning to Chengdu today, will be in the office on Monday, and plan to go on a business trip again on Tuesday."
2021-01-22 03:33:14,Shutd0wn,lengmo,那周一可以一起开,Can we open together next Monday?
2021-01-22 03:33:37,lengmo,Shutd0wn,嗯,Hmm
2021-01-22 03:34:07,Shutd0wn,lengmo,,
2021-01-22 03:34:17,Shutd0wn,lengmo,,
2021-01-22 03:35:46,lengmo,Shutd0wn,四川安洵的会就是四川公司全员的？这个周一估计来不及开吧,"Sichuan Anxun's meeting is for all Sichuan employees, right? I don't think we will have time to hold it this Monday."
2021-01-22 03:36:10,Shutd0wn,lengmo,嗯，你下半周看时间组织,"Hmm, you organize the time in the second half of the week."
2021-01-22 03:36:28,lengmo,Shutd0wn,我计划回来也是下周五了,I plan to come back next Friday.
2021-01-22 03:37:02,Shutd0wn,lengmo,,
2021-01-22 03:38:06,lengmo,Shutd0wn,嗯，好的,Okay
2021-01-22 09:48:11,Shutd0wn,lengmo,几点回成都？,What time will you return to Chengdu?
2021-01-22 09:48:22,lengmo,Shutd0wn,到了，刚到家,"Arrived, just got home"
2021-01-22 09:49:21,Shutd0wn,lengmo,那算了，我找人试酒,"Forget it, I'll find someone to taste the wine."
2021-01-22 09:49:47,lengmo,Shutd0wn,来我们家楼下，叫老潘,Come to our house downstairs and call Old Pan.
2021-01-22 09:50:02,lengmo,Shutd0wn,试试我们楼下那个鱼火锅,Try the fish hotpot downstairs from us.
2021-01-22 09:50:10,lengmo,Shutd0wn,环境不咋地，味道挺好的,"The environment is not great, but the taste is very good."
2021-01-22 09:50:23,lengmo,Shutd0wn,新的浓香的酒挺好喝的,The new strong wine tastes very good.
2021-01-22 09:55:31,Shutd0wn,lengmo,明天,Tomorrow
2021-01-22 09:55:44,Shutd0wn,lengmo,明天我过来,I will come over tomorrow.
2021-01-22 09:56:11,lengmo,Shutd0wn,嗯,Well
2021-01-25 10:54:58,lengmo,Shutd0wn,妹纸有点多,The younger sister has a lot.
2021-01-25 10:57:27,Shutd0wn,lengmo,你们在哪吃,Where are you guys eating?
2021-01-25 10:57:43,lengmo,Shutd0wn,蜀九香,Shujiu Xiang
2021-01-25 10:59:46,Shutd0wn,lengmo,我这罗汉局,I'm this arhat局
2021-01-25 10:59:54,lengmo,Shutd0wn,没劲,No fun
2021-01-25 11:00:07,lengmo,Shutd0wn,主要华东明天走了，就一起吃个饭,"Mainly leaving tomorrow, let's have a meal together."
2021-01-25 11:00:15,lengmo,Shutd0wn,我们这边三个美女,We have three beautiful women here.
2021-01-25 12:51:34,lengmo,Shutd0wn,还是我们这边热烈,Still warmly on our side
2021-01-25 13:11:54,Shutd0wn,lengmo,我吃完了,I have finished eating
2021-01-25 13:12:11,lengmo,Shutd0wn,来喝啊,Come and drink
2021-01-25 13:12:23,lengmo,Shutd0wn,大客户部的妹纸真牛逼,The girls in the key account department are really amazing.
2021-01-25 13:12:24,Shutd0wn,lengmo,你们有没有二场,Do you have a second game?
2021-01-25 13:12:32,lengmo,Shutd0wn,好热闹,So lively
2021-01-25 13:13:08,lengmo,Shutd0wn,4瓶喝完了,4 bottles finished drinking
2021-01-25 13:14:25,lengmo,Shutd0wn,快来啊,Come quickly
2021-01-25 13:14:37,lengmo,Shutd0wn,我们部门妹纸真牛逼,The girls in our department are really awesome.
2021-01-25 13:14:44,lengmo,Shutd0wn,灌了好多,Poured a lot
2021-01-25 13:15:17,Shutd0wn,lengmo,，，，位置发我,Send me the location.
2021-01-25 13:15:41,lengmo,Shutd0wn,6号包厢,Room number 6
2021-01-25 13:19:21,lengmo,Shutd0wn,好嗨,So high
2021-01-25 13:21:01,lengmo,Shutd0wn,热闹不,Buzzing with excitement
2021-01-25 13:21:05,lengmo,Shutd0wn,你来了没,Have you arrived?
2021-01-25 13:23:08,Shutd0wn,lengmo,我在车上了,I'm in the car
2021-01-25 13:29:25,lengmo,Shutd0wn,到了没,Did you arrive yet?
2021-01-25 17:19:29,Shutd0wn,lengmo,听我安排,Listen to my arrangements.
2021-01-25 17:19:32,Shutd0wn,lengmo,没问题,No problem
2021-01-25 17:31:25,Shutd0wn,lengmo,我明天回去后就处理你这个事，放心吧,"I will handle this matter after I return tomorrow, so don't worry."
2021-01-25 17:49:49,lengmo,Shutd0wn,好的,Okay
2021-01-28 05:08:06,lengmo,Shutd0wn,小G 让我们发产品目录给他，说市局JZ 要报项目了，还有个AN S 链路申请试用，这个正常发？,"Xiao G asked us to send him the product catalog and said that the municipal bureau JZ is going to report the project, and there is also a link application for trial use by AN S. Is it normal to send this?"
2021-01-28 05:08:19,lengmo,Shutd0wn,有没有啥注意的,Is there anything to pay attention to?
2021-01-28 05:08:26,lengmo,Shutd0wn,毕竟那边不是有点乱,"After all, it's a bit messy over there."
2021-01-28 05:26:33,Shutd0wn,lengmo,可以发的,Can send
2021-01-28 05:26:45,Shutd0wn,lengmo,合作还是在继续,The cooperation is still continuing.
2021-01-28 05:43:06,lengmo,Shutd0wn,OK,Merry Christmas to you and your family.
2021-01-28 15:09:00,lengmo,Shutd0wn,在,At
2021-01-28 23:55:53,Shutd0wn,lengmo,嗯？,Hmm?
2021-01-29 00:09:36,lengmo,Shutd0wn,我这两天想到个新的产品，以及这个产品的运营模式,I thought of a new product and its business model in the past two days.
2021-01-29 00:09:59,lengmo,Shutd0wn,也是技术变现的模式,It is also a model for realizing technology.
2021-01-29 01:09:07,Shutd0wn,lengmo,嗯，具体怎么弄,"Hmm, how should we do it specifically?"
2021-01-29 01:10:06,Shutd0wn,lengmo,,
